日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150226","3130","一零四","72473","16357882","224.50","228.50","224.50","225.00","0.5000","133"
"1150226","3135","凌航","3280488","412002366","128.00","130.00","123.00","125.00","-3.0000","2863"
"1150226","3138","耀登","7631549","1449979415","179.00","198.00","176.00","198.00","18.0000","8810"
"1150226","3149","正達","5014914","265162998","53.20","54.00","52.20","52.60","-0.6000","4070"
"1150226","3150","鈺寶-創","103000","1800400","17.50","17.70","17.40","17.45","-0.3500","45"
"1150226","3164","景岳","163737","2908069","17.75","18.00","17.45","17.80","-0.1000","259"
"1150226","3167","大量","1499069","445116606","295.00","302.50","288.00","297.00","2.0000","2196"
"1150226","3168","眾福科","10091","411829","41.10","41.10","40.50","40.50","-0.2000","11"
"1150226","3189","景碩","51206644","16210004874","325.00","329.50","304.50","314.50","-11.0000","55517"
"1150226","3209","全科","961556","35479330","37.15","37.35","36.60","36.70","-0.3500","1223"
"1150226","3229","晟鈦","192492","4227108","22.35","22.65","21.30","22.15","-0.1500","159"
"1150226","3231","緯創","56005008","7592999527","139.00","139.00","134.50","136.00","-2.0000","38447"
"1150226","3257","虹冠電","428673","26144781","60.30","62.00","59.90","61.20","1.0000","396"
"1150226","3266","昇陽","54015","761145","14.15","14.15","13.90","14.15","0.0000","64"
"1150226","3296","勝德","89189","2150158","24.05","24.25","24.00","24.10","0.0500","218"
"1150226","3305","昇貿","11177859","1341710899","118.50","122.00","118.00","120.00","4.0000","9187"
"1150226","3308","聯德","1514400","37399946","25.00","25.70","23.40","25.15","-0.5500","1081"
"1150226","3311","閎暉","760628","25485699","33.10","34.15","32.40","33.95","1.4500","747"
"1150226","3312","弘憶股","718914","27434202","38.50","38.65","37.80","38.15","0.1500","1012"
"1150226","3321","同泰","371202","6828098","18.00","18.80","18.00","18.40","-0.2000","593"
"1150226","3338","泰碩","1559921","90131805","57.00","58.40","56.90","58.00","1.3000","1708"
"1150226","3346","麗清","354522","7442793","20.80","21.30","20.70","21.25","0.4500","278"
"1150226","3356","奇偶","502291","23811406","47.50","47.75","47.15","47.35","-0.1500","1428"
"1150226","3376","新日興","7013788","1469488530","204.00","215.00","201.00","207.00","5.5000","6722"
"1150226","3380","明泰","5962518","188062260","32.45","32.50","31.25","31.25","-1.1500","1858"
"1150226","3406","玉晶光","1027609","452897901","437.00","446.00","433.50","442.00","3.5000","1442"
"1150226","3413","京鼎","2832618","902607737","315.00","325.00","313.00","316.00","2.0000","22024"
"1150226","3416","融程電","210092","31932246","153.00","153.50","151.00","151.00","-1.5000","621"
"1150226","3419","譁裕","475807","7465432","15.90","15.95","15.55","15.60","-0.3000","270"
"1150226","3432","台端","125832","2167538","17.55","17.55","17.00","17.20","-0.1000","87"
"1150226","3437","榮創","641778","10002993","15.55","15.80","15.45","15.60","0.1500","482"
"1150226","3443","創意","5018399","13627684925","2610.00","2800.00","2595.00","2770.00","195.0000","16759"
"1150226","3447","展達","249351","10397407","41.00","42.15","41.00","41.40","0.5000","288"
"1150226","3450","聯鈞","33619909","10072469464","286.50","309.50","285.50","309.50","28.0000","38143"
"1150226","3454","晶睿","280730","27882498","99.30","99.60","99.20","99.40","0.1000","342"
"1150226","3481","群創","837945188","21727996932","25.05","27.00","24.15","26.80","2.2000","225417"
"1150226","3494","誠研","206762","1755201","8.41","8.68","8.25","8.66","0.2500","192"
"1150226","3501","維熹","212559","11006056","52.30","52.30","51.50","51.90","-0.2000","524"
"1150226","3504","揚明光","3569968","228041124","61.10","65.70","60.70","64.50","3.4000","3380"
"1150226","3515","華擎","927718","211876809","230.50","230.50","227.00","228.50","0.0000","1669"
"1150226","3518","柏騰","366102","7822608","21.05","22.00","20.85","21.15","0.3000","270"
"1150226","3528","安馳","265019","18848060","71.80","72.00","70.70","71.00","-1.0000","1335"
"1150226","3530","晶相光","209057","13191364","63.50","64.40","62.60","62.70","-0.1000","302"
"1150226","3532","台勝科","3158693","438356479","139.00","141.50","137.00","138.00","0.0000","2478"
"1150226","3533","嘉澤","2982019","5368989490","1760.00","1880.00","1745.00","1775.00","-20.0000","5889"
"1150226","3535","晶彩科","4302645","544530688","124.00","127.50","124.00","127.50","11.5000","1937"
"1150226","3543","州巧","14703743","817057364","55.20","58.80","52.90","53.50","-1.6000","14479"
"1150226","3545","敦泰","","","","","","","0.0000",""
"1150226","3550","聯穎","3072326","55324240","17.90","18.35","17.55","18.15","-0.1500","2008"
"1150226","3557","嘉威","67154","2304421","35.20","35.20","34.15","34.30","0.1500","150"
"1150226","3563","牧德","3401816","1924863646","537.00","570.00","535.00","570.00","51.0000","5224"
"1150226","3576","聯合再生","156546917","3351481301","21.55","22.10","19.70","22.10","2.0000","63483"
"1150226","3583","辛耘","4352471","1615933410","362.00","378.00","359.50","371.00","11.0000","6120"
"1150226","3588","通嘉","385152","20327337","52.40","53.30","52.30","52.30","0.3000","516"
"1150226","3591","艾笛森","928399","17479249","19.20","19.20","18.60","18.85","-0.4000","724"
"1150226","3592","瑞鼎","530356","124398630","237.00","237.50","232.50","233.00","-4.0000","1078"
"1150226","3593","力銘","73534","882706","11.95","12.25","11.95","12.25","0.3000","307"
"1150226","3596","智易","4471586","882982840","190.00","202.50","189.00","197.00","10.5000","4370"
"1150226","3605","宏致","1298677","83865339","64.80","65.20","63.80","64.50","-0.2000","1361"
"1150226","3607","谷崧","285675","4054376","14.05","14.30","13.95","14.25","0.3500","282"
"1150226","3617","碩天","226211","44331271","194.50","197.00","194.00","195.00","0.5000","729"
"1150226","3622","洋華","477521","29002982","61.00","61.40","59.70","61.10","1.1000","416"
"1150226","3645","達邁","8388967","534488636","60.10","65.30","59.50","64.20","4.8000","5867"
"1150226","3652","精聯","82055","2317764","28.40","28.55","28.10","28.20","-0.2000","51"
"1150226","3653","健策","1292986","4036821270","3120.00","3190.00","3055.00","3120.00","-10.0000","5664"
"1150226","3661","世芯-KY","1524358","5323316420","3480.00","3530.00","3435.00","3490.00","10.0000","8673"
"1150226","3665","貿聯-KY","5632601","7899669790","1390.00","1440.00","1375.00","1410.00","65.0000","10043"
"1150226","3669","圓展","167841","5770818","34.50","34.95","33.95","34.35","0.4500","141"
"1150226","3673","TPK-KY","2568038","109398510","41.85","42.95","41.70","42.90","0.9500","1727"
"1150226","3679","新至陞","109912","13019513","119.00","119.50","117.50","119.50","0.5000","240"
"1150226","3686","達能","734589","14714374","19.60","20.25","19.45","20.00","0.4000","674"
"1150226","3694","海華","994023","61813208","62.00","62.80","61.60","61.90","-0.2000","871"
"1150226","3701","大眾控","8179076","486987203","58.90","61.40","57.80","58.90","-0.6000","5650"
"1150226","3702","大聯大","13477766","936732192","69.00","70.60","67.80","70.00","1.5000","9867"
